Index,Contact Information,,City,State,ZIP,Phone,Facility Name,License
74,9725 FAYETTEVILLE ROAD,,RALEIGH,NC,27603,(919) 557-6776,CORNERSTONE LEARNING CENTER,GS 110-106
75,1201 KENT ROAD,,RALEIGH,NC,27606,(919) 851-4054,COUNTRY DAY MONTESSORI SCHOOL OF RALEIGH,Three Star Center License
76,5501 AVENT FERRY ROAD,,RALEIGH,NC,27606,(919) 859-2828,COUNTRY SUNSHINE CHILDREN'S CENTER,Four Star Center License
77,8408 STRICKLAND RD,,RALEIGH,NC,27615,(919) 841-5707,CREATIVE KIDZ ACADEMY,Three Star Center License
78,3933 NEW BERN AVE,,RALEIGH,NC,27610,(919) 594-1700,CREATIVE LEARNING CENTER,Four Star Center License
79,1201 OLD RALEIGH RD,,APEX,NC,27502,(919) 355-4944,CREATIVE SCHOOLS OF APEX,Five Star Center License
80,450 CREECH ROAD,,GARNER,NC,27529,(919) 662-2359,CREECH ROAD ELEMENTARY,Five Star Center License
81,568 E LENOIR STREET SUITE 115,,RALEIGH,NC,27601,(919) 857-3833,CROSBY HEAD START,Five Star Center License
82,1020 PENSELWOOD DRIVE,,RALEIGH,NC,27604,(919) 266-2571,DENISE'S LEARN AND PLAY,Three Star Center License
83,5018 DILLARD DRIVE,,RALEIGH,NC,27606,(919) 233-4200,DILLARD DRIVE ELEMENTARY,Five Star Center License
84,1212 HERITAGE LINKS DR,,WAKE FOREST,NC,27587,(919) 556-8001,DISCOVERY POINT HERITAGE,Five Star Center License
85,6510 CHAPEL HILL ROAD,,RALEIGH,NC,27607,(919) 961-9812,DOROTHY BABB ACADEMY,Four Star Center License
86,10030 DURANT ROAD,,RALEIGH,NC, 27614-9370,(919) 845-0733,DURANT ROAD PRESCHOOL,Five Star Center License
87,2614 FAIRWAY DRIVE,,RALEIGH,NC,27603,(919) 772-4109,"EARLY PRESCHOOL AND LEARNING CENTER, L.L.C.",Five Star Center License
88,228 W EDENTON STREET,,RALEIGH,NC,27603,(919) 832-2029,EDENTON STREET UNITED METHODIST CHILD DEV. CTR.,Five Star Center License
89,3601 HARDEN ROAD,,RALEIGH,NC,27607,(919) 755-1150,EDUCATIONAL JOURNEYS,One Star Center License
90,100 LUMPKIN ST,,RALEIGH,NC,27610,(919) 836-8985,ELLA'S PRIVATE DAY CARE,Three Star Center License
91,3800 HILLSBOROUGH STREET,,RALEIGH,NC,27607,(919) 760-8628,ELLEN BREWER INFANT- TODDLER LAB HOME,Five Star Center License
92,4926 FAYETTEVILLE ROAD,,RALEIGH,NC,27603,(919) 779-0316,ERNEST MYATT CHILDREN'S DEVELOPMENT CENTER,Five Star Center License
93,316 COLONADES WAY SUITE 101 C,,CARY,NC,27518,(984) 232-0259,ESTEEM ME --- MCP,Five Star Center License
94,316 COLONADES WAY SUITE 107 C,,CARY,NC,27518,(919) 795-8449,ESTEEM ME MONTESSORI & CREATIVE PLAY,Five Star Center License
95,1001 OLIVE CHAPEL ROAD,,APEX,NC,27502,(919) 446-4304,EVERBROOK ACADEMY,Five Star Center License
96,1147 EXECUTIVE CIRCLE,,CARY,NC,27511,(919) 469-4114,EXECUTIVE PARK LEARNING CENTER,Five Star Center License
97,4309 TEN TEN ROAD,,APEX,NC,27539,(919) 362-0052,FAIRVIEW CHILDREN'S CENTER,Five Star Center License
98,6840 FALLS OF NEUSE RD,,RALEIGH,NC,27615,(919) 848-3675,FALLS ACADEMY,Four Star Center License
99,120 WEST HARGETT,,RALEIGH,NC, 27601-1314,(919) 821-1845,FIRST PRESBYTERIAN CHURCH CHILD DEV CTR,Four Star Center License
100,100 LAWSON RIDGE ROAD,,KNIGHTDALE,NC, 27545-6713,(919) 266-8487,FORESTVILLE ROAD ELEMENTARY,Four Star Center License
101,2823 SANDERFORD ROAD,,RALEIGH,NC, 27610-5835,(919) 833-7309,FOUNDATIONS ACADEMY,Five Star Center License
102,3311 CARL SANDBURG COURT,,RALEIGH,NC,27610,(919) 821-7436,FRANKIE LEMMON SCHOOL AND DEVELOPMENT CENTER,Five Star Center License
103,301 N WOODROW STREET,,FUQUAY-VARINA,NC,27526,(919) 552-9586,FUQUAY-VARINA BAPTIST WEE CARE,GS 110-106
104,901 AVERSBORO ROAD,,GARNER,NC,27529,(919) 772-4072,"GARNER ACADEMY, INC",Three Star Center License
105,2235 GARNER ROAD,,RALEIGH,NC,27610,(919) 856-2356,GARNER ROAD COMMUNITY CENTER,Four Star Center License
106,1521 NORTH MAIN STREET,,FUQUAY-VARINA,NC,27526,(919) 552-4723,GINGERBREAD LITTLEVERSITY UPTOWN,Five Star Center License
107,7441 WHITE OAK RD,,GARNER,NC,27529,(919) 661-2327,GOOD-HONEY BEARS CHILD DEVELOPMENT CTR I,Three Star Center License
108,7441 WHITE OAK RD,,GARNER,NC,27529,(919) 661-2327,GOOD-HONEYBEARS CHILD DEVELOPMENT CTR INC. II,Three Star Center License
109,312 N MAIN STREET,,HOLLY SPRINGS,NC,27540,(919) 346-1061,GREAT MINDS MONTESSORI ACADEMY INC.,One Star Center License
110,821 S NEW HOPE RD SUITE 105,,RALEIGH,NC,27610,(919) 231-0777,GREATER WORD OF TRUTH CHILD DEVELOPMENT CENTER,GS 110-106
111,1002 MULFORD COURT,,KNIGHTDALE,NC,27545,(919) 217-4888,GROW-N-LEARN CHILD CARE CENTER OF KNIGHTDALE,Three Star Center License
112,12600 SPRUCE TREE WAY,,RALEIGH,NC,27614,(919) 825-1771,GUIDEPOST MONTESSORI SPRUCE TREE,One Star Center License
113,3922 BUFFALOE ROAD,,RALEIGH,NC,27604,(919) 790-5472,"GURU ACADEMY, INC.",Three Star Center License
114,301 NORTH KING CHARLES ROAD,,RALEIGH,NC,27610,(919) 235-2618,HAPPY TIMES CHILDCARE LEARNING CENTER,Three Star Center License
115,8504 HARPS MILL RD,,RALEIGH,NC, 27615-3882,(919) 850-9323,HARPS MILL CREATIVE SCHOOL,Five Star Center License
116,3500 BUFFALOE ROAD,,RALEIGH,NC,27604,(919) 878-5201,HARVEST CHURCH DAYCARE,GS 110-106
117,112 BYRUM ST,,CARY,NC,27511,(919) 465-2113,HEARTWOOD MONTESSORI SCHOOL,One Star Center License
118,2255 HERBERT AKINS RD,,FUQUAY-VARINA,NC,27526,(919) 567-4100,HERBERT AKINS ELEMENTARY,Four Star Center License
119,3425 ROGERS ROAD,,WAKE FOREST,NC,27587,(919) 556-7199,"HERITAGE CHILDREN'S ACADEMY, INC.",Four Star Center License
120,615 MACK TODD ROAD,,ZEBULON,NC,27597,(919) 269-6504,HERITAGE CHRISTIAN ACADEMY DAYCARE,GS 110-106
121,1901 RIDGE ROAD,,RALEIGH,NC,27607,(919) 787-2182,HIGHLAND CHILDREN'S CENTER,Five Star Center License
122,7410 FALLS OF NEUSE RD,,RALEIGH,NC,27615,(919) 846-2449,HILLEL SCHOOL,Five Star Center License
123,148 E VANCE STREET,,ZEBULON,NC,27597,(919) 269-5640,"HOCUTT'S CHILD CARE, INC.",Four Star Center License
124,2128 MINGO BLUFF BLVD,,KNIGHTDALE,NC, 27545-6713,(919) 266-8599,HODGE ROAD ELEMENTARY,Four Star Center License
125,116 QUANTUM STREET,,HOLLY SPRINGS,NC,27540,(919) 552-8331,HOLLY SPRINGS ACADEMY,Five Star Center License
126,1180 HOLLY SPRINGS ROAD,,HOLLY SPRINGS,NC,27540,(919) 577-6119,HOLLY SPRINGS LEARNING CENTER,Five Star Center License
127,101 ARBOR CREEK DR,,HOLLY SPRINGS,NC,27540,(919) 303-9009,HOLLY SPRINGS SCHOOL FOR EARLY EDUCATION,Four Star Center License
128,5000 LEAD MINE ROAD,,RALEIGH,NC,27612,(919) 861-8171,HOLY TRINITY PRESCHOOL,GS 110-106
129,3525 ROGERS ROAD,,WAKE FOREST,NC,27587,(919) 453-0388,HOPE LUTHERAN PRESCHOOL,GS 110-106
130,1000 LAWNDALE ST,,GARNER,NC,27529,(919) 779-3335,HUCKLEBERRY'S FRIENDS PRESCHOOL AND CHILD CARE,Five Star Center License
131,1515 CROSSLINK ROAD,,RALEIGH,NC,27610,(919) 773-9136,HUGS R PRECIOUS CHILD ENRICHMENT CENTER,Three Star Center License
132,1801 SPRING FOREST RD,,RALEIGH,NC, 27615-7435,(919) 878-9927,IN THE BEGINNING...,Three Star Center License
133,99 N SALISBURY STREET,,RALEIGH,NC,27603,(919) 832-4650,INFANT/TODDLER CENTER OF FIRST BAPTIST CHURCH,Five Star Center License
134,804 COLEMAN STREET,,RALEIGH,NC,27610,(919) 832-5294,INFANTS PALACE,Three Star Center License
135,2204 NORTH MAIN STREET,,FUQUAY-VARINA,NC,27526,(919) 586-7155,"IQ KIDS ACADEMY, INC.",Probationary License
136,4104 SAINT JAMES CHURCH RD,,RALEIGH,NC,27604,(919) 760-9876,"IRREGULAR TIME CHILD CARE CENTER, LLC",Five Star Center License
137,4030-100 CAPITAL BLVD,,RALEIGH,NC,27604,(919) 760-9876,IRREGULAR TIME ENRICHMENT CENTER,Five Star Center License
138,722 SHELLEY ROAD,,RALEIGH,NC, 27609-5166,(919) 332-6701,IVY LEAGUE PRESCHOOL,Five Star Center License
139,6119 CREEDMOOR RD,,RALEIGH,NC,27612,(919) 365-8990,JEFFREYS GROVE ELEMENTARY,Four Star Center License
140,616 HADLEY ROAD,,RALEIGH,NC,27610,(919) 664-8976,JO'S DAYCARE,Four Star Center License
141,6523 JOHNSON POND ROAD,,FUQUAY-VARINA,NC,27526,(919) 557-9448,JOHNSON POND LEARNING CENTER,Five Star Center License
142,1305 GLENWOOD AVE,,RALEIGH,NC, 27605-0917,(919) 833-5428,JORDAN CHILD AND FAMILY ENRICHMENT CENTER,Five Star Center License
143,1323 CLAYMORE STREET,,GARNER,NC,27529,(919) 779-1218,JUDY SHUMAN'S DAY CARE,Three Star Center License
144,3920 NEELY ST,,RALEIGH,NC,27606,(919) 858-8660,KENTWOOD HEAD START CENTER,Five Star Center License
145,3250 FORESTVILLE ROAD,,RALEIGH,NC,27616,(919) 266-0344,"KID'S EDUCATIONAL CENTER VI, INC.",Three Star Center License
146,9920 SELLONA STREET,,RALEIGH,NC,27617,(919) 536-7100,KIDDIE ACADEMY OF BRIER CREEK,Four Star Center License
147,1450 TRYON MANOR DRIVE,,CARY,NC,27518,(919) 803-5000,KIDDIE ACADEMY OF CARY,Five Star Center License
148,610 LAKESTONE COMMONS AVE,,FUQUAY-VARINA,NC,27526,(919) 577-5588,KIDDIE ACADEMY OF FUQUAY VARINA,Four Star Center License
149,150 ROSEWOOD CENTRE DRIVE,,HOLLY SPRINGS,NC,27540,(919) 367-0088,KIDDIE ACADEMY OF HOLLY SPRINGS,Five Star Center License
150,2000 CARRINGTON MILL BLVD,,MORRISVILLE,NC,27560,(919) 234-6972,KIDDIE ACADEMY OF MORRISVILLE,Five Star Center License
151,7350 O'KELLY CHAPEL RD,,CARY,NC,27519,(919) 592-3646,KIDDIE ACADEMY OF WEST CARY,Five Star Center License
152,5616 FOX ROAD,,RALEIGH,NC,27616,(919) 621-5986,KIDDIE KARE ACADEMY,Three Star Center License
153,4325 TRYON ROAD,,RALEIGH,NC,27606,(919) 828-1800,KIDDIE UNIVERSITY,Four Star Center License
154,7421 SIEMENS ROAD,,WENDELL,NC, 27591-8318,(919) 365-4991,"KIDS EDUCATIONAL CENTER #2, INC.",Three Star Center License
155,1020 JONES DAIRY RD,,WAKE FOREST,NC, 27587-8284,(919) 554-3721,"KIDS EDUCATIONAL CENTER III, INC.",Three Star Center License
156,7106 FORESTVILLE ROAD,,KNIGHTDALE,NC,27545,(919) 217-2323,KIDS EDUCATIONAL CENTER IV,Four Star Center License
157,4605 OLD FAISON ROAD,,KNIGHTDALE,NC, 27545-9185,(919) 266-1988,"KIDS EDUCATIONAL CENTER, INC.",Four Star Center License
158,3308 POOLE RD SUITE 102,,RALEIGH,NC,27610,(919) 255-3313,KIDS FIRST ACADEMY,Five Star Center License
159,6010 MCCRIMMON PARKWAY,,MORRISVILLE,NC,27560,(919) 460-1500,KIDS R KIDS OF MORRISVILLE,Five Star Center License
160,150 TOWNE VILLAGE DRIVE,,CARY,NC,27513,(919) 467-1112,KIDS R KIDS QUALITY LEARNING CENTER,Five Star Center License
161,7580 CARPENTER FIRE STATION RD,,CARY,NC,27519,(919) 461-2202,KIDS R KIDS WEST CARY,Five Star Center License
162,821 BUCK JONES RD,,RALEIGH,NC,27606,(919) 532-8410,KIDTOWNE AT HOPE COMMUNITY CHURCH,GS 110-106
163,2080 EAST WILLIAMS STREET,,APEX,NC,27539,(919) 629-6570,KIDTOWNE AT HOPE COMMUNITY CHURCH - APEX,GS 110-106
164,100 EAST JUDD STREET,,ZEBULON,NC,27597,(919) 404-1992,KIDZ KONNECTION INC.,Three Star Center License
165,3129 POPLARWOOD COURT,,RALEIGH,NC, 27604-1008,(919) 850-0234,KINDERCARE LEARNING CENTERS LLC,Four Star Center License
166,300 EARNIE LANE,,HOLLY SPRINGS,NC,27540,(919) 577-0220,KINDERCARE LEARNING CENTER,Five Star Center License
167,2880 HIGHWAY 55,,CARY,NC,27519,(919) 362-1115,KINDERCARE LEARNING CENTER,Five Star Center License
168,6560 TRYON ROAD,,CARY,NC,27518,(919) 854-1515,KINDERCARE LEARNING CENTER,Five Star Center License
169,8050 CHAPEL HILL RD,,CARY,NC,27513,(919) 469-0252,KINDERCARE LEARNING CENTER,Four Star Center License
170,321 SPRING FOREST ROAD,,RALEIGH,NC,27609,(919) 870-1704,KINDERCARE LEARNING CENTER,Four Star Center License
171,1590 DUNN ROAD,,RALEIGH,NC,27614,(919) 821-2261,KINDERCARE LEARNING CENTER,Five Star Center License
172,101 OCEANA PLACE,,CARY,NC,27513,(919) 481-0272,KINDERCARE LEARNING CENTER,Four Star Center License
173,9301 LEESVILLE RD,,RALEIGH,NC,27613,(919) 848-2292,KINDERCARE LEARNING CENTER,Five Star Center License
174,1201 FRIENDSHIP CHAPEL RD,,WAKE FOREST,NC,27587,(919) 554-9982,KINDERCARE LEARNING CENTER,Five Star Center License
175,131 KEYBRIDGE DRIVE,,MORRISVILLE,NC,27560,(919) 678-8233,KINDERCARE LEARNING CENTER,Five Star Center License
176,2300 SPRING FOREST RD,,RALEIGH,NC,27615,(919) 954-7662,KINDERCARE LEARNING CENTER,Four Star Center License
177,1815 OLIVE CHAPEL RD,,APEX,NC,27502,(919) 629-4813,KINDERCARE LEARNING CENTER,Five Star Center License
178,10350 DURANT RD,,RALEIGH,NC,27614,(919) 846-2424,KINDERCARE LEARNING CENTER,Four Star Center License
179,932 HEATHER PARK DRIVE,,GARNER,NC,27529,(919) 779-2126,KINDERCARE LEARNING CENTER,Five Star Center License
180,3103 KELLEY AUSTIN DR,,RALEIGH,NC,27610,(919) 231-1936,KINDERCARE LEARNING CENTER,Five Star Center License
181,2220 WENDELL FALLS PARKWAY,,WENDELL,NC,27591,(919) 365-0159,KINDERCARE LEARNING CENTER WENDELL FALLS,Four Star Center License
182,1118 E MAYNARD ROAD,,CARY,NC,27511,(919) 469-0866,KINDERCARE LEARNING CENTERS LLC,Five Star Center License
183,9325 LEESVILLE ROAD,,RALEIGH,NC, 27613-7515,(919) 848-8960,KINDERCARE LEARNING CENTERS LLC,Four Star Center License
184,223 W MILLBROOK ROAD,,RALEIGH,NC, 27609-4303,(919) 781-4642,KINDERCARE LEARNING CENTERS LLC,Three Star Center License
185,203 KILMAYNE DRIVE,,CARY,NC,27511,(919) 469-8790,KINDERCARE LEARNING CENTERS LLC,Five Star Center License
186,250 CORNERSTONE DRIVE,,CARY,NC,27519,(919) 466-8684,KINDERCARE LEARNING CENTERS LLC,Five Star Center License
187,2300 BRIDGEPORT DRIVE,,RALEIGH,NC, 27615-4301,(919) 676-8937,KINDERCARE LEARNING CENTERS LLC,Five Star Center License
188,200 FOREST DR,,KNIGHTDALE,NC, 27545-9604,(919) 266-4166,KINDERCARE LEARNING CENTERS LLC,Five Star Center License
189,1101 VANDORA SPRINGS RD,,GARNER,NC,27529,(919) 720-4010,KING'S KIDS EARLY EDUCATION AND LEARNING CENTER IN,Five Star Center License
190,7900 TEN-TEN ROAD,,RALEIGH,NC,27603,(919) 779-9456,KING'S TOWN CHILD DEVELOPMENT CENTER,GS 110-106
191,109 RIDGE ST,,KNIGHTDALE,NC,27545,(919) 266-8540,KNIGHTDALE ELEMENTARY,One Star Center License
192,1020 TODD ROAD,,KNIGHTDALE,NC,27545,(919) 266-1240,KNIGHTDALE HEAD START,Five Star Center License
193,710 LIGHTRAIL DRIVE,,KNIGHTDALE,NC,27545,(919) 752-6883,KNIGHTDALE STATION PRESCHOOL,Three Star Center License
194,10741 FOREST PINES DRIVE,,RALEIGH,NC, 27614-8017,(919) 570-3401,KNOWLEDGE BEGINNINGS,Five Star Center License
195,2733 COMMUNITY DRIVE,,RALEIGH,NC,27610,(919) 255-3418,KREEPERS-N-KRAWLERS,Five Star Center License
196,1413 AVERSBORO ROAD,,GARNER,NC,27529,(919) 779-5901,LA PETITE ACADEMY,Five Star Center License
197,7601 SIX FORKS ROAD,,RALEIGH,NC, 27615-5022,(919) 846-7602,LA PETITE ACADEMY,Five Star Center License
198,1420 HEDINGHAM BOULEVARD,,RALEIGH,NC, 27604-8302,(919) 231-8185,LA PETITE ACADEMY,Five Star Center License
199,955 WEST CHATHAM STREET,,CARY,NC, 27511-3168,(919) 467-5875,LA PETITE ACADEMY,Five Star Center License
200,9313 LEESVILLE ROAD,,RALEIGH,NC, 27613-7514,(919) 846-3557,LA PETITE ACADEMY,Five Star Center License
201,10250 CHAPEL HILL ROAD,,MORRISVILLE,NC,27560,(919) 655-0655,LA PETITE ACADEMY,Five Star Center License
